,uf,municipio,longitude,latitude
369,BA,Irajuba,-40.08482,-13.256331
370,BA,Iramaia,-40.959471,-13.290186
371,BA,Iraquara,-41.615504,-12.24288
372,BA,Irará,-38.763139,-12.050449
373,BA,Irecê,-41.853462,-11.303317
374,BA,Itabela,-39.559318,-16.573188
375,BA,Itaberaba,-40.305897,-12.524182
376,BA,Itabuna,-39.278056,-14.787573
377,BA,Itacaré,-38.99591,-14.278422
378,BA,Itaeté,-40.96774,-12.983121
379,BA,Itagi,-40.013112,-14.1615
380,BA,Itagibá,-39.844945,-14.278239
381,BA,Itagimirim,-39.613317,-16.081919
382,BA,Itaguaçu da Bahia,-42.399671,-11.014672
383,BA,Itaju do Colônia,-39.728298,-15.136598
384,BA,Itajuípe,-39.369823,-14.678766
385,BA,Itamaraju,-39.538569,-17.03782
386,BA,Itamari,-39.682959,-13.778192
387,BA,Itambé,-40.629955,-15.242913
388,BA,Itanagra,-38.043595,-12.261435
389,BA,Itanhém,-40.332139,-17.164207
390,BA,Itaparica,-38.67995,-12.893205
391,BA,Itapebi,-39.532863,-15.955063
392,BA,Itapetinga,-40.248236,-15.247533
393,BA,Itapicuru,-38.226229,-11.308836
394,BA,Itapitanga,-39.565654,-14.413932
395,BA,Itapé,-39.423858,-14.887641
396,BA,Itaquara,-39.937767,-13.44589
397,BA,Itarantim,-40.06496,-15.652819
398,BA,Itatim,-39.695199,-12.709888
399,BA,Itiruçu,-40.147186,-13.529043
400,BA,Itiúba,-39.844616,-10.694761
401,BA,Itororó,-40.068401,-15.109988
402,BA,Ituaçu,-41.300284,-13.810651
403,BA,Ituberá,-39.148059,-13.724936
404,BA,Iuiú,-43.559547,-14.405424
405,BA,Jaborandi,-44.425537,-13.607082
406,BA,Jacaraci,-42.432878,-14.85409
407,BA,Jacobina,-40.511693,-11.181217
408,BA,Jaguaquara,-39.964009,-13.524834
409,BA,Jaguarari,-40.199938,-10.256859
410,BA,Jaguaripe,-38.893891,-13.110924
411,BA,Jandaíra,-37.785274,-11.561614
412,BA,Jequié,-40.087704,-13.850888
413,BA,Jeremoabo,-38.347097,-10.06848
414,BA,Jiquiriçá,-39.57365,-13.262101
415,BA,Jitaúna,-39.896892,-14.013085
416,BA,João Dourado,-41.654799,-11.348642
417,BA,Juazeiro,-40.503251,-9.416217
418,BA,Jucuruçu,-40.164074,-16.848752
419,BA,Jussara,-41.970235,-11.043084
420,BA,Jussari,-39.490962,-15.19201
421,BA,Jussiape,-41.588209,-13.515514
422,BA,Lafaiete Coutinho,-40.21189,-13.6541
423,BA,Lagoa Real,-42.132764,-14.033443
424,BA,Laje,-39.421264,-13.167327
425,BA,Lajedinho,-40.904752,-12.352889
